date,ticker,avg_sentiment,min_sentiment,max_sentiment,n_comments
2024-01-27,ABNB,-2.0,-2,-2,4
2024-01-27,AMZN,-2.0,-2,-2,3
2024-01-27,BLK,-2.0,-2,-2,4
2024-01-27,BX,-2.0,-2,-2,5
2024-01-27,DJI,1.0,1,1,1
2024-01-27,ICVT,-2.0,-2,-2,2
2024-01-27,INVH,-1.0,-1,-1,1
2024-01-27,RP,-1.0,-1,-1,1
2024-01-27,TBRA,-1.0,-1,-1,1
2024-01-27,TIC,-2.0,-2,-2,3
2024-01-27,Z,-2.0,-2,-2,4
2024-01-27,ZG,-2.0,-2,-2,2
2024-01-28,C,0.0,0,0,1
2024-01-28,CAJ,1.0,1,1,1
2024-01-28,F,0.0,0,0,1
2024-01-28,FDX,1.0,1,1,1
2024-01-28,GOOS,0.6666666666666666,0,2,3
2024-01-28,LCC,-1.0,-1,-1,1
2024-01-28,MCD,0.0,0,0,1
2024-01-28,MTRX,-1.0,-1,-1,1
2024-01-28,NSANY,0.0,0,0,1
2024-01-28,RDRT,1.0,1,1,1
2024-01-28,TM,0.0,0,0,2
2024-01-30,A,-2.0,-2,-2,2
2024-01-30,AAL,-2.0,-2,-2,1
2024-01-30,ABBV,-2.0,-2,-2,2
2024-01-30,ABT,-2.0,-2,-2,2
2024-01-30,ADI,-2.0,-2,-2,1
2024-01-30,ADM,-2.0,-2,-2,1
2024-01-30,AFL,-2.0,-2,-2,2
2024-01-30,AIG,-2.0,-2,-2,2
2024-01-30,AJG,-2.0,-2,-2,2
2024-01-30,ALK,-2.0,-2,-2,1
2024-01-30,AMAT,-2.0,-2,-2,1
2024-01-30,AMD,-2.0,-2,-2,1
2024-01-30,AMGN,-2.0,-2,-2,1
2024-01-30,AMZN,-0.6,-2,1,15
2024-01-30,ASML,-2.0,-2,-2,1
2024-01-30,AVGO,-2.0,-2,-2,1
2024-01-30,AZO,-2.0,-2,-2,1
2024-01-30,BA,-2.0,-2,-2,1
2024-01-30,BAC,-2.0,-2,-2,2
2024-01-30,BIIB,-2.0,-2,-2,1
2024-01-30,BLK,-2.0,-2,-2,2
2024-01-30,BP,-2.0,-2,-2,1
2024-01-30,BRK.B,-2.0,-2,-2,2
2024-01-30,BSX,-2.0,-2,-2,1
2024-01-30,BTI,-2.0,-2,-2,2
2024-01-30,BWA,-2.0,-2,-2,1
2024-01-30,C,-2.0,-2,-2,2
2024-01-30,CARG,-2.0,-2,-2,1
2024-01-30,CAT,-2.0,-2,-2,1
2024-01-30,CELG,-2.0,-2,-2,1
2024-01-30,CME,-2.0,-2,-2,2
2024-01-30,COL,-2.0,-2,-2,1
2024-01-30,COP,-2.0,-2,-2,1
2024-01-30,CVS,-2.0,-2,-2,3
2024-01-30,CVX,-2.0,-2,-2,1
2024-01-30,DAL,-2.0,-2,-2,1
2024-01-30,DE,-2.0,-2,-2,1
2024-01-30,DPZ,0.0,0,0,1
2024-01-30,EOG,-2.0,-2,-2,1
2024-01-30,F,-2.0,-2,-2,1
2024-01-30,FANG,-2.0,-2,-2,1
2024-01-30,FCAU,-2.0,-2,-2,1
2024-01-30,FDX,-0.8,-1,0,5
2024-01-30,GD,-2.0,-2,-2,1
2024-01-30,GE,-2.0,-2,-2,1
2024-01-30,GILD,-2.0,-2,-2,1
2024-01-30,GM,0.0,-2,1,3
2024-01-30,GPC,-2.0,-2,-2,1
2024-01-30,GS,-2.0,-2,-2,2
2024-01-30,HA,-2.0,-2,-2,1
2024-01-30,HD,-2.0,-2,-2,1
2024-01-30,HFC,-2.0,-2,-2,1
2024-01-30,HMC,-2.0,-2,-2,1
